!SESSION 2014-08-04 16:31:17.889 -----------------------------------------------
eclipse.buildId=4.3.2.M20140221-1700
java.version=1.7.0_40
java.vendor=Oracle Corporation
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=en_US
Framework arguments:  -product org.eclipse.epp.package.jee.product
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -product org.eclipse.epp.package.jee.product

This is a continuation of log file C:\Users\KShah\workspace\.metadata\.bak_0.log
Created Time: 2014-08-07 23:50:39.166

!ENTRY org.eclipse.core.jobs 4 2 2014-08-07 23:50:39.166
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 00:01:47.228
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 00:13:21.154
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 00:25:08.354
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 00:36:34.541
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 00:47:58.740
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 00:59:39.474
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 01:10:46.958
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 01:22:14.758
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 01:33:12.129
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 01:44:30.650
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 01:56:03.658
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 02:07:13.552
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 02:18:38.908
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 02:30:21.984
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 02:42:12.727
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 02:53:31.375
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 03:04:44.265
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 03:15:49.911
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 03:27:13.714
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 03:38:25.123
!MESSAGE An internal error occurred during: "Downloading RSS feeds".
!STACK 0
java.lang.OutOfMemoryError: Java heap space

!ENTRY org.eclipse.core.jobs 4 2 2014-08-08 03:50:04.350
